code,name,short_name
1,"Você e sua amiga acabaram de tomar café/chá, mas, na hora de pagar a conta, você percebe que esqueceu a carteira e o celular e não tem como pagar. O que você diz à sua amiga?",Conta
2,"Você saiu à noite com um grupo de amigos. Na hora de ir embora, percebe que ficou tarde. Você está sem carro, já não há meios de transporte público disponíveis e você não está conseguindo outra forma de voltar para casa. Um amigo está indo embora de carro. O que você lhe diz?",Carona
3,"Você está na fila em um consultório médico e precisa preencher um formulário. Em volta, não há canetas disponíveis para os pacientes, mas você percebe que a senhora do seu lado está com uma caneta na mão e acabando de preencher o formulário dela. O que você lhe diz?",Caneta
4,"Você está na rua indo encontrar um amigo estrangeiro, que está chegando de uma longa viagem e vai se hospedar na sua casa. Por causa de um imprevisto, você vai se atrasar e precisa avisá-lo. Por algum motivo, seu celular não está fazendo ligações nem mandando mensagens. Também não há telefones ao redor. Um senhor está passando com o celular na mão... O que você lhe diz?",Celular
5,"Você acabou de entrar na casa de um amigo e está com sede. O que você lhe diz?",Sede
6,"Você acabou de entrar na casa de uma amiga e está completamente encharcada/o porque está chovendo torrencialmente. Ela não oferece nada para você se secar, mas você quer evitar pegar um resfriado. O que você lhe diz?",Temporal
7,"Você foi convidado/a para um evento social em um restaurante e está na mesa sentado/a ao lado de um senhor que você não conhecia antes. Durante a refeição, você quer beber água, mas não alcança a garrafa, que está mais próxima dele. O que você lhe diz?",Garrafa
8,"Você mudou recentemente para um novo apartamento, em um prédio sem porteiro. Uma encomenda importante, que você comprou on-line, teve a data de entrega alterada e chegará nos próximos dias, em coincidência com uma viagem já marcada há muito tempo. Você preferiria não deixar sua encomenda em um ponto de retirada e pensa na vizinha do lado, que você encontrou poucas vezes e parece ser uma senhora simpática. Você toca a campainha e ela abre a porta: o que você lhe diz?",Encomenda
